company_id,company_name,industry,annual_revenue,employee_count,country,created_date,owner_id
1,Innovate Solutions,Software,5500000,250,Netherlands,2023-01-15,101
2,Quantum Manufacturing,Manufacturing,12000000,800,Germany,2023-02-20,102
3,Apex Retail Group,Retail,8200000,450,USA,2023-03-10,101
4,Nexus Health,Healthcare,25000000,1500,USA,2023-04-05,103
5,Starlight Media,Media & Entertainment,3100000,150,UK,2023-05-21,102
6,DataDriven Inc.,Technology,9500000,320,Netherlands,2023-06-11,101
7,GreenLeaf Organics,Agriculture,1800000,80,France,2023-07-19,104
8,LogiCore Logistics,Transportation,18000000,1100,Germany,2023-08-01,102
9,BuildRight Construction,Construction,7300000,400,Netherlands,2023-09-25,103
10,Synergy Consulting,Consulting,4200000,180,Belgium,2023-10-30,101
11,Pioneer Education,Education,2100000,120,UK,2023-11-15,104
12,Vertex Financials,Finance,35000000,2000,USA,2024-01-20,103
13,Momentum Motors,Automotive,45000000,2500,Germany,2024-02-18,102
14,BlueWave Telecom,Telecommunications,28000000,1800,France,2024-03-09,104
15,Infinite Arts,Arts & Culture,950000,50,Netherlands,2024-04-02,101
16,Solaris Energy,Energy,62000000,3000,USA,2023-01-25,103
17,AquaPure Systems,Utilities,15000000,600,Germany,2023-02-18,102
18,TerraFirm Realty,Real Estate,11500000,350,UK,2023-03-12,104
19,Gastronomy Group,Food & Beverage,6800000,500,France,2023-04-28,104
20,AeroDynamics,Aerospace,85000000,4500,USA,2023-05-15,103
21,MindCraft Studios,Gaming,13000000,400,Netherlands,2023-06-22,101
22,BioGen Pharmaceuticals,Pharmaceuticals,120000000,5000,Germany,2023-07-11,102
23,TrendSetters Fashion,Apparel,22000000,1200,France,2023-08-09,104
24,SecureNet Cybersecurity,Security,19500000,650,USA,2023-09-03,103
25,Compass Travel,Hospitality,9800000,700,UK,2023-10-18,104
26,Evergreen Packaging,Packaging,4300000,220,Belgium,2023-11-25,101
27,Quantum Leap AI,Artificial Intelligence,31000000,200,USA,2024-01-05,103
28,Petal & Stem,Floristry,1200000,60,Netherlands,2024-02-14,101
29,Precision Robotics,Robotics,26000000,550,Germany,2024-03-20,102
30,The Legal Eagle,Legal Services,8700000,300,UK,2024-04-11,104
31,BrightSpark Marketing,Marketing,2500000,90,USA,2023-01-30,101
32,Ironclad Mining,Mining,75000000,4000,Germany,2023-02-22,102
33,PaperTrail Publishing,Publishing,4800000,180,UK,2023-03-18,104
34,Oceanic Shipping,Shipping,39000000,2200,Netherlands,2023-04-14,101
35,Vanguard Defense,Defense,95000000,6000,USA,2023-05-29,103
