deal_id,deal_name,company_id,amount,deal_stage,close_date,created_date,owner_id
1001,Innovate CRM Upgrade Q2,1,25000,Closed Won,2023-05-15,2023-03-01,101
1002,Quantum Mfg. Analytics Platform,2,50000,Closed Won,2023-06-20,2023-04-10,102
1003,Apex Retail Marketing Suite,3,18000,Closed Lost,2023-07-01,2023-05-05,101
1004,Nexus Health Support Renewal,4,30000,Closed Won,2023-08-10,2023-06-15,103
1005,DataDriven Premium License Deal,6,75000,Closed Won,2023-09-05,2023-07-20,101
1006,LogiCore Logistics API Integration,8,22000,Proposal Sent,2025-09-30,2025-08-15,102
1007,Synergy Consulting CRM Licenses,10,32000,Closed Won,2024-01-10,2023-11-20,101
1008,Vertex Financials Analytics Suite,12,65000,Negotiation,2025-10-15,2025-08-01,103
1009,Momentum Motors CRM Overhaul,13,120000,Closed Won,2024-05-20,2024-03-01,102
1010,BlueWave Telecom Support Package,14,45000,Qualification,2025-11-01,2025-08-25,104
1011,Innovate Solutions Expansion,1,40000,Closed Won,2024-06-30,2024-04-15,101
1012,Solaris Energy API Access,16,15000,Closed Won,2023-04-10,2023-02-15,103
1013,AquaPure Systems Support Deal,17,25000,Closed Won,2023-05-12,2023-03-20,102
1014,TerraFirm Realty CRM Licenses,18,12000,Closed Lost,2023-06-05,2023-04-15,104
1015,Gastronomy Group Analytics,19,48000,Closed Won,2023-07-18,2023-05-25,104
1016,AeroDynamics Implementation,20,150000,Closed Won,2023-08-22,2023-06-10,103
1017,MindCraft Studios Premium Licenses,21,35000,Negotiation,2025-10-20,2025-08-05,101
1018,BioGen Pharma Data Suite,22,250000,Closed Won,2023-10-11,2023-08-01,102
1019,TrendSetters Fashion CRM,23,28000,Proposal Sent,2025-11-10,2025-09-01,104
1020,SecureNet Cybersecurity Support,24,60000,Closed Won,2023-12-01,2023-10-05,103
1021,Compass Travel License Upgrade,25,19000,Closed Lost,2024-01-15,2023-11-10,104
1022,Evergreen Packaging API Project,26,9000,Closed Won,2024-02-20,2023-12-15,101
1023,Quantum Leap AI Analytics Platform,27,85000,Closed Won,2024-03-25,2024-01-20,103
1024,Precision Robotics Implementation,29,110000,Closed Won,2024-06-10,2024-04-10,102
1025,The Legal Eagle Premium Support,30,18000,Closed Won,2024-07-05,2024-05-01,104
1026,BrightSpark Marketing CRM Deal,31,7500,Closed Lost,2023-04-02,2023-02-10,101
1027,Ironclad Mining Data Suite,32,95000,Closed Won,2023-05-20,2023-03-15,102
